id,codigo,descripcion,marca,precio_actual,precio_actualizado
35721,7010153             ,BUJIA INCANDESCENCIA MOTRIO LINEA/MAREA/STILO 1.9,RN,"12276,0","14117,4"
35722,7010154             ,BUJIA INCANDESCENCIA DUCATO 2.5 TDI,RN,"13643,0","15689,45"
35723,1009695M            ,BUJIA ENCENDIDO MOTRIO BPR6EY PALIO/PUNTO/IDEA 1.8,RN,"8557,0","9840,55"
35724,5203360M            ,AMORTIGUADOR DELANTERO MOTRIO 405 GL/GR/SR/GLD 91/,RN,"40399,8","46459,77"
35725,R11556131H,FILTRO ACEITE MAHLE KWID 1.0 3 CILINDROS B4D,RN,"11734,36","13494,51"
35726,ZBA261275M--        ,FILTRO COMBUSTIBLE MOTRIO GOL/SENDA/SAVEIRO /97,RN,"3449,0","3966,35"
35727,FFF12962019M        ,FILTRO AIRE MOTRIO FORD KA 1.0/1.3 ENDURA,RN,"10214,0","11746,1"
35728,R407311D-L,KIT HOMOCINETICAS L/R LARA DUSTER / OROCH/ FLUENCE,RN,"58188,2","66916,43"
35729,FFF69815110M        ,JUEGO PASTILLAS FRENO MOTRIO RANGER/EXPLORER 95/,RN,"30999,0","35648,85"
35730,C0410011-M          ,BUJIA ENCENDIDO CORSA/PRISMA/CELTA/SPIN/ BPR6EY,RN,"8557,0","9840,55"
35731,C041001--M,BUJIA PRECALENTAMIENTO (17TD/TC4EE1) ORIG ASTRA,RN,"9068,0","10428,2"
35732,R1033833-M          ,JUNTA TAPA CILINDRO MASTER /G9U,RN,"212643,0","244539,45"
35733,R12962026E,FILTRO AIRE      CLIO II 1.2,RN,"10632,0","12226,8"
35734,R14116510A          ,CRAPODINA EMBRAGUE HIDRAULICA MASTER/S8U/S9W/F9Q,RN,"125655,0","144503,25"
35735,R19938140I          ,SOPORTE MOTOR (BIELETA)  ERGHOM  CLIO 98/01/K7M,RN,"49102,0","56467,3"
35736,C69815128M,JUEGO PASTILLAS FRENO  MOTRIO VECT/ASTRA /94,RN,"9939,0","11429,85"
35737,R8372256-P          ,"MANIJA INT.PTA,DEL.IZQ.NEGRA          MASTER 02/13",RN,"16020,0","18423,0"
35738,R90511510A,BOBINA ENCENDIDO ACDELCO 19379548 CLIO/LOG/SAN,RN,"68024,71","78228,42"
35739,R905115--A,BOBINA ENCENDIDO ACDELCO 19379545 CLIO/MEGANE,RN,"37893,65","43577,7"
35740,R95945517S          ,MOTOR PALETA ELECTROV.          CLIO/KANGOO/MEGANE,RN,"149819,9","172292,89"
35741,R95945537S          ,MOTOR PALETA ENCAUZADOR DOBLE ELECTROV.MASTER 98/,RN,"608945,4","700287,21"
35742,R90511519K          ,BOBINA ENCENDIDO CLI II/KANG/TWIN 1.2 INDU 1444,RN,"165580,91","190418,05"
35743,R95945548O,"TAZA RUEDA 15"" (MISTI) ORIG LAGUNA",RN,"18956,44","21799,91"
35744,R95945550O,TUBO LINEA COMB (K9K) ORIG LOG/SAND,RN,"22956,74","26400,25"
35745,R90585545O,SOPORTE FARO TRAS DER ORIG SCENIC,RN,"7296,07","8390,48"
35746,R83722635O,PASARUEDA TRAS IZQ ORIG LOGAN,RN,"29543,12","33974,59"
35747,R83130117O,PASARUEDA DEL DER ORIG TRAFIC,RN,"39651,26","45598,95"
35748,R821025D3O,PALANCA CAMBIOS AUTOM (DC4) ORIG FLU/MEG III,RN,"389752,48","448215,35"
35749,R821025D4O,PANEL SUP INT CARROCERIA PUERTA DER ORIG MASTER II,RN,"4229,72","4864,18"
35750,R867012A1O,RESORTE SUSPENSION DEL ORIG FLUENCE / MEGANE III,RN,"42961,53","49405,76"
35751,R867012A2O,SOPORTE ALMA PARAG DEL IZQ ORIG KOLEOS II,RN,"2796,15","3215,57"
35752,R867011B4O,REFUERZO CENTRAL INT PARAGOLPE DEL ORIG LAGUNA II,RN,"39764,16","45728,78"
35753,R12105168O,BURLETE INFERIOR PORTON LAT ORIG TRAFIC,RN,"23954,72","27547,93"
35754,R42289147O,CORREDERA GUIA CENT PORTON LAT ORIG MASTER III,RN,"6154,29","7077,43"
35755,R60114722O,CLIP FIJ MOLD TECHO ORIG CLIO II SPORT,RN,"2692,47","3096,34"
35756,R80719367O,COBERTURA INT PLAST TRAS DER ORIG DUSTER,RN,"4115,22","4732,5"
35757,R80721888O,DESCENSO ESCAPE (K9K) ORIG MEGANE II,RN,"43216,29","49698,73"
35758,R80996234O,FRENTE CONSOLA CENTRAL ORIG KANGOO II,RN,"7258,96","8347,8"
35759,R80996236O,ALOJAMIENTO APOYA BRAZOS DER ORIG MEGANE,RN,"2496,15","2870,57"
35760,R80996237O,MOTOR PALETA DER (2ZV) ORIG LATITUD,RN,"198614,0","228406,1"
35761,ADE-101,JGO CUBREALFOMBRAS ORIG MASTER,RN,"153418,0","176430,7"
35762,ADE-104,COB PLAST LAT IZQ BAND BAJO LUNETA ORIG LOGAN/SAND,RN,"11243,0","12929,45"
35763,ADE-110,ALFOMBRA PISO TRAS 5PL ORIG KANGOO,RN,"38456,0","44224,4"
35764,ADE-111,ALFOMBRA PISO TRAS X65 W ORIG CLIO II,RN,"56737,1","65247,67"
35765,ADE-65,ALFOMBRA PISO CARGA ORIG DOKKER,RN,"263177,0","302653,55"
35766,ADE-68,CUBRE ALFOMBRA COMP ORIG MEGANE II,RN,"148192,0","170420,8"
35767,ADE-71,KIT BALIZA TRIANGULAR SEGURIDAD ORIG TODOS,RN,"20906,0","24041,9"
35768,ADE-73,SOPORTE MATAFUEGO ORIG KWID,RN,"35446,6","40763,59"
35769,ADE-74,CUBRE ALFOMBRA BAUL ORIGINAL MEGANE II 4 PUERTAS,RN,"148192,0","170420,8"
35770,ADE-75,CUBRE ALFOMBRA BAUL ORIGINAL TWINGO,RN,"8692,0","9995,8"
35771,ADE-76,JGO CUBRE ALFOMBRA ORIG LATITUD,RN,"148192,0","170420,8"
35772,ADE-77,JGO FUNDAS COMPLETO ORIGINAL LOGAN,RN,"64995,0","74744,25"
35773,ADE-78,CUBRE ALFOMBRA K67 ORIG KANGOO II,RN,"148192,0","170420,8"
35774,ADE-79,CUBRE ALFOMBRAS ORIG CAPTUR,RN,"178886,0","205718,9"
35775,ADE-81,"FUNDA CUBRE AUTO ""XL"" ORIGINAL  DUSTER",RN,"42485,19","48857,97"
35776,ADE-83,FUNDA CUBREAUTO ORIG CLIO/SANDERO/LOGAN/SYMBOL,RN,"51306,7","59002,71"
35777,ADE-86,ALFOMBRA PISO HABITACULO ORIG,RN,"153418,0","176430,7"
35778,ADE-88,CUBRE ALFOMBRA 4 PIEZAS - ORIG,RN,"148192,0","170420,8"
35779,ADE-89,CUBRE ALFOMBRA CAUCHO BC5 ORIG,RN,"148192,0","170420,8"
35780,ADE-94O,COBERTOR ORIG FLUENCE,RN,"3672,0","4222,8"
35781,ADE-97,TRIANGULO BALIZA SEÑALIZACION ORIG,RN,"20906,0","24041,9"
35782,ADE-98,"FUNDA CUBRE AUTO ""S"" ORIGINAL VEHICULOS CHICOS",RN,"51306,7","59002,71"
35783,R000008---          ,FICHA 5 VIAS P/MINI RELAY AEREO (FICHA),RN,"3956,0","4549,4"
35784,R000009---          ,FICHA 4 VIAS P/RELAY (10mm) (FICHA),RN,"6460,0","7429,0"
35785,R000013---,FICHA 2 VIAS BOBINA ENCENDIDO LAPIZ RENAULT,RN,"4328,1","4977,32"
35786,R000050--O,BATERIA 50AH ORIGINAL RENAULT,RN,"199212,0","229093,8"
35787,R000065--O,BATERIA 65AH 720 AL B3 ORIG FLUENCE,RN,"219273,0","252163,95"
35788,9999005L            ,CAJA DIRECCION RENAULT 9/11 87/  M/NUEVO**,RN,"222313,0","255659,95"
35789,UNIV179,CABLE TOMA AIRE UNIVERSAL 179 4.00 MTS,RN,"10227,0","11761,05"
