id,codigo,descripcion,proveedor,precio_actual,precio_actualizado
45766,HQ2116A,PASTILLA DE FRENO,AutoRepuestos Express,"55325,11","71922,64"
45775,HQ2202A,PASTILLA DE FRENO PARA AUTOMOVIL,AutoRepuestos Express,"52537,45","68298,69"
45779,HQ2266A,PASTILLA DE FRENO PARA AUTOMOVIL,AutoRepuestos Express,"66152,37","85998,08"
45780,HQ2271A,PASTILLA DE FRENO PARA AUTOMOVIL,AutoRepuestos Express,"61764,52","80293,88"
45782,HQ2301,PASTILLA DE FRENO PARA AUTOMOVIL,AutoRepuestos Express,"58794,19","76432,45"
45783,HQ2320,PASTILLA DE FRENO PARA AUTOMOVIL,AutoRepuestos Express,"53322,67","69319,47"
46005,CR6PKE1030KT,CORREA POLY V,AutoRepuestos Express,"54021,85","70228,41"
46021,CT1003,CORREA DE DISTRIBUCION,AutoRepuestos Express,"70432,88","91562,74"
46022,CT1028,CORREA DE DISTRIBUCION,AutoRepuestos Express,"80164,34","104213,64"
46030,CT453K1,KIT DE DISTRIBUCION,AutoRepuestos Express,"81112,55","105446,32"
46033,CT488K1,KIT DE DISTRIBUCION,AutoRepuestos Express,"55340,12","71942,16"
46034,CT488K2,KIT DE DISTRIBUCION,AutoRepuestos Express,"75463,79","98102,93"
46045,CT846K1,KIT DE DISTRIBUCION,AutoRepuestos Express,"56355,12","73261,66"
46048,CT870,CORREA DE DISTRIBUCION,AutoRepuestos Express,"57502,53","74753,29"
46050,CT874K2,KIT DE DISTRIBUCION,AutoRepuestos Express,"80582,98","104757,87"
46055,CT960K1,KIT DE DISTRIBUCION,AutoRepuestos Express,"82039,29","106651,08"
46314,ITEM101NH,SOPORTE NO HIDRAULICO,AutoRepuestos Express,"57306,67","74498,67"
46315,ITEM103H,SOPORTE HIDRAULICO,AutoRepuestos Express,"55227,74","71796,06"
46316,ITEM106H,SOPORTE HIDRAULICO,AutoRepuestos Express,"62145,14","80788,68"
46328,ITEM132,SOPORTE HIDRAULICO,AutoRepuestos Express,"68433,72","88963,84"
46333,ITEM140,SOPORTE HIDRAULICO,AutoRepuestos Express,"53729,69","69848,6"
46334,ITEM143,SOPORTE HIDRAULICO,AutoRepuestos Express,"50805,72","66047,44"
46346,ITEM178,SOPORTE HIDRAULICO,AutoRepuestos Express,"52700,26","68510,34"
46349,ITEM186,SOPORTE HIDRAULICO,AutoRepuestos Express,"50899,87","66169,83"
46351,ITEM190,SOPORTE HIDRAULICO,AutoRepuestos Express,"51899,52","67469,38"
46352,ITEM192,SOPORTE HIDRAULICO,AutoRepuestos Express,"65113,05","84646,97"
46356,ITEM207,SOPORTE HIDRAULICO,AutoRepuestos Express,"55878,77","72642,4"
46377,ITEM63H,SOPORTE HIDRAULICO,AutoRepuestos Express,"52015,55","67620,22"
46383,ITEM75NH,SOPORTE NO HIDRAULICO,AutoRepuestos Express,"50073,38","65095,39"
46390,ITEM91H,SOPORTE HIDRAULICO,AutoRepuestos Express,"50477,7","65621,01"
46443,TC12510,TENSOR,AutoRepuestos Express,"53034,98","68945,47"
46488,TC36026,TENSOR,AutoRepuestos Express,"62479,58","81223,45"
46519,TCFORD08,TENSOR,AutoRepuestos Express,"85481,89","111126,46"
46520,TCFORD10,TENSOR,AutoRepuestos Express,"73153,64","95099,73"
46522,TCFORD26,TENSOR,AutoRepuestos Express,"51928,46","67507,0"
46530,TM12,TERMOSTATO,AutoRepuestos Express,"51272,57","66654,34"
46554,2JH0106,JUNTA HOMOCINETICA,AutoRepuestos Express,"60121,58","78158,05"
46555,2JH0107,JUNTA HOMOCINETICA,AutoRepuestos Express,"81662,25","106160,93"
46556,2JH0108,JUNTA HOMOCINETICA,AutoRepuestos Express,"86493,55","112441,62"
