seccion,proveedor_id,proveedor,total_repuestos,sin_descripcion,repuesto_mas_caro_id,repuesto_mas_caro_codigo,repuesto_mas_caro_precio,marca,promedio_precio_marca
proveedor,1,AutoPiezas Pro,11599.0,0.0,61173.0,ACX380  ,12646416.82,,
marca,,,,,,,,1C,14715.08
marca,,,,,,,,3C,4056.18
marca,,,,,,,,A1,995500.39
marca,,,,,,,,AA,119617.03
marca,,,,,,,,AE,230417.77
marca,,,,,,,,AI,15846.96
marca,,,,,,,,AL,1033042.19
marca,,,,,,,,AS,197655.2
marca,,,,,,,,AU,5162452.34
marca,,,,,,,,BA,251.16
marca,,,,,,,,BD,97205.99
marca,,,,,,,,BF,241635.07
marca,,,,,,,,BK,11091.44
marca,,,,,,,,BM,42942.64
marca,,,,,,,,BS,158134.09
marca,,,,,,,,BT,266205.58
marca,,,,,,,,BV,24702.27
marca,,,,,,,,BY,3951.98
marca,,,,,,,,CA,23202.8
marca,,,,,,,,CE,62482.44
marca,,,,,,,,CG,2811299.06
marca,,,,,,,,CH,1007207.4
marca,,,,,,,,CI,1251825.75
marca,,,,,,,,CK,268590.02
marca,,,,,,,,CM,173138.78
marca,,,,,,,,CO,71736.37
marca,,,,,,,,CV,40776.21
marca,,,,,,,,D1,60203.57
marca,,,,,,,,D2,20786.74
marca,,,,,,,,D3,21287.28
marca,,,,,,,,D4,102280.94
marca,,,,,,,,D5,188953.63
marca,,,,,,,,D7,63720.25
marca,,,,,,,,E1,16186.8
marca,,,,,,,,E2,782993.94
marca,,,,,,,,E3,1007944.4
marca,,,,,,,,E4,601361.65
marca,,,,,,,,E5,204199.42
marca,,,,,,,,E9,2284.66
marca,,,,,,,,EA,6511.53
marca,,,,,,,,EB,5881.15
marca,,,,,,,,EG,5015.99
marca,,,,,,,,EK,53621.33
marca,,,,,,,,EL,764.63
marca,,,,,,,,ET,21166.24
marca,,,,,,,,EU,16908.52
marca,,,,,,,,FA,12788.73
marca,,,,,,,,FB,64922.51
marca,,,,,,,,FD,51522.22
marca,,,,,,,,FH,13783.26
marca,,,,,,,,FK,51645.9
marca,,,,,,,,FM,66156.9
marca,,,,,,,,FR,113743.93
marca,,,,,,,,FV,11190.32
marca,,,,,,,,H0,11532.84
marca,,,,,,,,H2,7938.62
marca,,,,,,,,H3,23014.01
marca,,,,,,,,I1,135189.07
marca,,,,,,,,I2,48323.74
marca,,,,,,,,I3,16963.04
marca,,,,,,,,IB,15145.01
marca,,,,,,,,J1,106391.8
marca,,,,,,,,JA,728.29
marca,,,,,,,,JB,16548.44
marca,,,,,,,,JI,73820.92
marca,,,,,,,,JT,17001.21
marca,,,,,,,,JV,96387.16
marca,,,,,,,,KD,239631.81
marca,,,,,,,,KF,670477.47
marca,,,,,,,,KG,41571.69
marca,,,,,,,,KI,197567.49
marca,,,,,,,,KM,190563.27
marca,,,,,,,,KP,329296.74
marca,,,,,,,,KV,184522.04
marca,,,,,,,,L2,1439852.27
marca,,,,,,,,L3,330798.33
marca,,,,,,,,LB,159953.86
marca,,,,,,,,LK,458189.15
marca,,,,,,,,LX,29417.65
marca,,,,,,,,M0,94640.49
marca,,,,,,,,M8,625624.01
marca,,,,,,,,MB,46969.17
marca,,,,,,,,MF,29778.3
marca,,,,,,,,MH,100756.01
marca,,,,,,,,MJ,37717.38
marca,,,,,,,,MT,53671.29
marca,,,,,,,,MU,103727.27
marca,,,,,,,,NF,16074.4
marca,,,,,,,,OF,198969.06
marca,,,,,,,,P4,93714.88
marca,,,,,,,,PC,94140.54
marca,,,,,,,,PH,97452.94
marca,,,,,,,,PK,160880.5
marca,,,,,,,,PP,44298.63
marca,,,,,,,,PR,56571.17
marca,,,,,,,,Q1,2104951.75
marca,,,,,,,,R0,102285.14
marca,,,,,,,,RB,19037.29
marca,,,,,,,,RC,60187.12
marca,,,,,,,,RD,410508.81
marca,,,,,,,,RF,167090.45
marca,,,,,,,,RI,44403.0
marca,,,,,,,,RM,2085.79
marca,,,,,,,,RP,336738.07
marca,,,,,,,,S7,148228.67
marca,,,,,,,,S8,60608.8
marca,,,,,,,,SA,126171.46
marca,,,,,,,,SC,102571.5
marca,,,,,,,,SD,149100.92
marca,,,,,,,,SE,0.76
marca,,,,,,,,SH,281312.58
marca,,,,,,,,SK,59425.85
marca,,,,,,,,SM,63990.0
marca,,,,,,,,SN,64008.08
marca,,,,,,,,SP,104259.57
marca,,,,,,,,SR,13269.37
marca,,,,,,,,T1,9900.37
marca,,,,,,,,T2,76177.78
marca,,,,,,,,T3,229820.38
marca,,,,,,,,T4,102383.07
marca,,,,,,,,T5,10840.93
marca,,,,,,,,T6,23256.68
marca,,,,,,,,T7,41538.58
marca,,,,,,,,T9,1009485.52
marca,,,,,,,,TB,21750.29
marca,,,,,,,,TH,54652.02
marca,,,,,,,,TI,91497.24
marca,,,,,,,,TK,62868.25
